,Year 5,Year 10,Year 15,Year 20
Prostate,99.0,95.0,87.0,81.0
Thyroid,96.0,96.0,94.0,95.0
Testis,95.0,94.0,91.0,88.0
Melanomas,89.0,87.0,84.0,83.0
Breast,86.0,78.0,71.0,75.0
Hodgkin's,85.0,80.0,74.0,67.0
Uterus,84.0,83.0,81.0,79.0
Urinary,82.0,76.0,70.0,68.0
Cervix,71.0,64.0,63.0,60.0
Larynx,69.0,57.0,46.0,38.0
Rectum,63.0,55.0,52.0,49.0
Kidney,62.0,54.0,50.0,47.0
Colon,62.0,55.0,54.0,52.0
Non-Hodgkin's,58.0,46.0,38.0,34.0
Oral,57.0,46.0,38.0,33.0
Ovary,55.0,49.0,50.0,50.0
Leukemia,43.0,32.0,30.0,26.0
Brain,32.0,29.0,28.0,26.0
Multiple myeloma,30.0,13.0,7.0,5.0
Stomach,24.0,19.0,19.0,15.0
Lung,15.0,11.0,7.0,6.0
Esophagus,14.0,8.0,8.0,5.0
Liver,8.0,6.0,6.0,8.0
Pancreas,4.0,3.0,3.0,3.0
